,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income
114,-115.84,33.49,20.0,1660.0,379.0,637.0,250.0,2.0347
115,-115.85,34.2,34.0,3868.0,1257.0,890.0,423.0,1.3571
116,-115.88,32.93,15.0,208.0,49.0,51.0,20.0,4.0208
117,-115.9,33.34,19.0,1210.0,248.0,329.0,155.0,1.7857
118,-115.91,33.36,15.0,459.0,95.0,160.0,73.0,0.922
119,-115.93,35.55,18.0,1321.0,272.0,754.0,226.0,3.4028
120,-115.94,33.38,5.0,186.0,43.0,41.0,21.0,2.7
121,-115.95,33.28,12.0,99.0,25.0,37.0,17.0,1.8958
122,-115.96,33.3,27.0,322.0,81.0,112.0,57.0,1.125
123,-115.98,33.32,8.0,240.0,46.0,63.0,24.0,1.4688
124,-115.99,33.4,15.0,1945.0,536.0,515.0,273.0,2.0109
125,-116.0,33.19,16.0,245.0,57.0,81.0,33.0,1.2639
126,-116.0,32.74,26.0,1134.0,280.0,329.0,158.0,1.4338
127,-116.01,33.51,24.0,2985.0,958.0,4042.0,905.0,1.7344
128,-116.01,33.41,20.0,1996.0,515.0,659.0,295.0,2.8684
129,-116.02,34.18,8.0,569.0,97.0,312.0,96.0,4.3021
130,-116.05,34.12,19.0,301.0,65.0,150.0,56.0,3.125
131,-116.05,33.33,17.0,290.0,94.0,135.0,57.0,1.7292
132,-116.06,34.2,29.0,1202.0,290.0,383.0,156.0,1.3371
133,-116.06,34.15,15.0,10377.0,2331.0,4507.0,1807.0,2.2466
134,-116.08,33.86,16.0,381.0,89.0,182.0,75.0,2.425
135,-116.09,34.15,13.0,9444.0,1997.0,4166.0,1482.0,2.6111
136,-116.11,33.64,20.0,1273.0,354.0,1548.0,355.0,2.0871
137,-116.12,33.53,17.0,2421.0,820.0,2971.0,685.0,1.654
138,-116.14,34.22,32.0,3298.0,1228.0,763.0,360.0,1.875
139,-116.15,34.14,18.0,3312.0,705.0,1251.0,512.0,3.0139
140,-116.15,33.69,22.0,197.0,54.0,331.0,70.0,2.9286
141,-116.15,33.64,10.0,1711.0,499.0,1896.0,443.0,1.6557
142,-116.16,33.68,12.0,1230.0,277.0,1334.0,260.0,2.2679
143,-116.17,33.67,18.0,3585.0,800.0,3873.0,788.0,2.5714
144,-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306
145,-116.17,33.53,13.0,1713.0,512.0,1978.0,442.0,2.1287
146,-116.18,33.69,17.0,89.0,19.0,79.0,21.0,2.375
147,-116.18,33.67,25.0,2888.0,654.0,2940.0,660.0,2.2141
148,-116.19,33.67,16.0,1859.0,476.0,1994.0,477.0,1.7297
149,-116.2,33.7,26.0,2399.0,625.0,2654.0,535.0,2.2989
150,-116.2,33.63,23.0,1152.0,273.0,1077.0,235.0,2.5
151,-116.2,32.64,28.0,1608.0,409.0,567.0,254.0,1.4648
152,-116.21,33.75,22.0,894.0,192.0,830.0,202.0,3.0673
153,-116.21,33.72,28.0,2488.0,714.0,2891.0,676.0,2.3169
154,-116.21,33.71,19.0,3114.0,787.0,3157.0,772.0,1.7083
155,-116.21,33.68,34.0,584.0,176.0,625.0,166.0,1.5809
156,-116.21,33.66,19.0,1596.0,295.0,1201.0,282.0,3.8846
157,-116.22,36.0,14.0,1372.0,386.0,436.0,213.0,1.1471
158,-116.22,34.21,23.0,1175.0,468.0,355.0,151.0,2.2083
159,-116.22,33.74,26.0,4120.0,858.0,2918.0,815.0,3.3107
160,-116.22,33.73,38.0,1695.0,352.0,1279.0,305.0,2.1217
161,-116.22,33.72,28.0,826.0,258.0,979.0,245.0,1.7172
162,-116.22,33.7,9.0,3861.0,849.0,825.0,401.0,3.2833
163,-116.23,33.73,29.0,1133.0,221.0,918.0,239.0,2.8648
164,-116.23,33.72,32.0,4981.0,1326.0,3779.0,1186.0,1.7805
165,-116.23,33.71,17.0,4874.0,1349.0,5032.0,1243.0,2.444
166,-116.24,33.73,14.0,2774.0,566.0,1530.0,505.0,3.0682
167,-116.24,33.72,25.0,5236.0,1039.0,2725.0,935.0,3.775
168,-116.24,33.71,10.0,9033.0,2224.0,5525.0,1845.0,2.7598
169,-116.25,33.81,24.0,880.0,187.0,507.0,169.0,3.4583
170,-116.25,33.75,33.0,278.0,91.0,375.0,81.0,2.025
171,-116.25,33.69,5.0,1664.0,444.0,907.0,374.0,2.7667
172,-116.26,33.65,3.0,7437.0,1222.0,574.0,302.0,10.2948
173,-116.26,33.07,17.0,934.0,284.0,452.0,184.0,1.9875
174,-116.27,34.13,37.0,452.0,109.0,184.0,59.0,3.7292
175,-116.29,33.74,6.0,12991.0,2555.0,4571.0,1926.0,4.7195
176,-116.29,33.72,5.0,3584.0,760.0,1097.0,470.0,3.1771
177,-116.3,33.68,10.0,2387.0,481.0,863.0,304.0,2.8882
178,-116.31,34.13,20.0,2352.0,556.0,1217.0,481.0,1.6063
179,-116.31,33.67,15.0,2214.0,410.0,1152.0,350.0,2.9187
180,-116.31,33.67,11.0,4686.0,851.0,2466.0,731.0,3.3333
181,-116.31,33.66,7.0,4497.0,831.0,2248.0,713.0,3.6354
182,-116.32,34.14,18.0,1880.0,487.0,994.0,425.0,1.69
183,-116.32,34.1,10.0,4256.0,861.0,1403.0,686.0,2.6618
184,-116.32,33.28,19.0,1791.0,367.0,327.0,185.0,3.3625
185,-116.33,34.15,13.0,1808.0,411.0,735.0,320.0,1.5489
186,-116.33,33.75,5.0,19107.0,3923.0,2880.0,1376.0,4.036
187,-116.33,33.72,11.0,12327.0,2000.0,2450.0,1139.0,7.4382
188,-116.34,33.36,24.0,2746.0,514.0,731.0,295.0,3.3214
189,-116.35,34.13,9.0,1969.0,406.0,805.0,349.0,1.5491
190,-116.35,32.74,16.0,2595.0,606.0,1046.0,367.0,1.7137
191,-116.36,33.88,11.0,12557.0,3098.0,2453.0,1232.0,1.7844
192,-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3.312
193,-116.37,33.69,7.0,8806.0,1542.0,858.0,448.0,7.8005
194,-116.37,33.19,12.0,4890.0,1152.0,1289.0,570.0,2.5795
195,-116.38,34.2,14.0,4985.0,1238.0,2517.0,954.0,2.0674
196,-116.38,34.1,6.0,2104.0,348.0,841.0,320.0,4.1458
197,-116.38,33.74,7.0,17579.0,3479.0,3581.0,1820.0,4.084
198,-116.38,33.73,10.0,11836.0,2405.0,3811.0,1570.0,4.0079
199,-116.38,33.71,17.0,12509.0,2460.0,2737.0,1423.0,4.5556
200,-116.39,34.15,15.0,5583.0,1149.0,2709.0,964.0,1.9779
201,-116.39,33.82,15.0,11115.0,2257.0,4122.0,1653.0,2.7219
202,-116.39,33.72,19.0,7646.0,1618.0,2496.0,1075.0,3.5569
203,-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833
204,-116.4,34.12,16.0,5648.0,1089.0,2524.0,1008.0,2.6739
205,-116.4,34.09,9.0,4855.0,872.0,2098.0,765.0,3.2723
206,-116.4,33.78,8.0,3059.0,500.0,612.0,208.0,6.8729
207,-116.41,33.74,25.0,2475.0,476.0,910.0,387.0,3.3639
208,-116.41,33.74,17.0,4289.0,893.0,958.0,440.0,2.4659
209,-116.42,33.79,12.0,7095.0,1260.0,1179.0,570.0,4.9444
210,-116.42,33.76,14.0,16921.0,2837.0,2524.0,1262.0,7.6281
211,-116.42,33.68,15.0,3895.0,782.0,900.0,529.0,2.2208
212,-116.42,33.51,26.0,186.0,48.0,102.0,39.0,2.5625
213,-116.43,34.1,17.0,6683.0,1296.0,2677.0,1227.0,2.4828
214,-116.43,33.81,8.0,6710.0,1343.0,2069.0,781.0,3.5223
215,-116.43,33.75,24.0,2596.0,438.0,473.0,237.0,3.7727
216,-116.44,34.16,19.0,1867.0,361.0,758.0,321.0,2.8929
217,-116.44,34.12,18.0,5584.0,1303.0,2250.0,1158.0,1.5823
218,-116.44,33.93,17.0,5293.0,1266.0,1201.0,599.0,1.6849
219,-116.44,33.77,18.0,4872.0,1110.0,955.0,656.0,2.2439
220,-116.44,33.74,5.0,846.0,249.0,117.0,67.0,7.9885
221,-116.45,33.8,9.0,5534.0,1206.0,2283.0,1008.0,3.6161
222,-116.45,33.78,16.0,5228.0,992.0,1177.0,639.0,3.0859
223,-116.45,32.65,22.0,2680.0,643.0,1644.0,516.0,2.1949
224,-116.46,33.82,6.0,4863.0,920.0,3010.0,828.0,3.9508
225,-116.46,33.78,33.0,2565.0,745.0,2301.0,638.0,2.5477
226,-116.47,34.07,22.0,5473.0,1234.0,2581.0,1098.0,1.9375
227,-116.47,33.94,18.0,2233.0,471.0,919.0,388.0,3.2578
228,-116.47,33.84,3.0,9169.0,1512.0,3838.0,1270.0,4.3111
229,-116.47,33.81,7.0,10105.0,2481.0,6274.0,2095.0,2.4497
230,-116.47,33.78,27.0,1781.0,441.0,759.0,340.0,3.3162
231,-116.48,33.94,10.0,3254.0,913.0,923.0,486.0,1.8
232,-116.48,33.79,14.0,9425.0,2020.0,1711.0,1000.0,2.6298
233,-116.48,33.61,8.0,1294.0,272.0,457.0,199.0,2.9167
234,-116.49,33.82,27.0,3316.0,636.0,2362.0,532.0,2.9569
235,-116.49,33.8,13.0,8789.0,1875.0,1274.0,688.0,3.7396
236,-116.5,33.98,5.0,4332.0,868.0,1420.0,567.0,4.0417
237,-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983
238,-116.5,33.82,16.0,343.0,85.0,29.0,14.0,2.1042
239,-116.5,33.81,26.0,5032.0,1229.0,3086.0,1183.0,2.5399
240,-116.5,33.69,20.0,4810.0,1074.0,1304.0,740.0,2.25
241,-116.51,34.85,15.0,3149.0,713.0,1281.0,486.0,2.0
242,-116.51,34.45,21.0,8502.0,2634.0,2330.0,991.0,1.3811
243,-116.51,33.96,16.0,4913.0,1395.0,2518.0,1132.0,1.4665
244,-116.51,33.94,12.0,3369.0,780.0,1315.0,584.0,1.7388
245,-116.51,33.89,21.0,1284.0,306.0,537.0,233.0,1.95
246,-116.52,33.97,13.0,3921.0,754.0,1902.0,665.0,3.3616
247,-116.52,33.85,13.0,7559.0,1444.0,3189.0,1105.0,3.4886
248,-116.52,33.84,17.0,4465.0,859.0,853.0,445.0,3.6875
249,-116.52,33.82,21.0,10227.0,2315.0,3623.0,1734.0,2.5212
250,-116.52,32.9,18.0,4454.0,852.0,1754.0,656.0,4.57
251,-116.53,33.95,18.0,2990.0,648.0,1280.0,532.0,2.625
252,-116.53,33.88,5.0,4423.0,763.0,1906.0,667.0,4.6855
253,-116.53,33.85,16.0,10077.0,2186.0,3048.0,1337.0,2.9647
254,-116.53,33.84,28.0,8399.0,1839.0,3470.0,1340.0,2.5885
255,-116.53,33.78,18.0,2547.0,463.0,411.0,214.0,2.5489
256,-116.54,33.81,31.0,6814.0,1714.0,2628.0,1341.0,2.1176
257,-116.54,33.81,24.0,6087.0,1217.0,1721.0,833.0,3.1493
258,-116.54,33.8,22.0,6050.0,1387.0,1432.0,890.0,2.2216
259,-116.54,33.79,18.0,9374.0,1780.0,1678.0,919.0,3.9737
260,-116.55,33.84,28.0,2992.0,562.0,676.0,346.0,5.7613
261,-116.56,34.06,15.0,6928.0,1529.0,2568.0,1075.0,2.5405
262,-116.56,33.83,36.0,1765.0,399.0,451.0,264.0,2.6083
263,-116.56,33.05,15.0,1985.0,361.0,536.0,209.0,4.125
264,-116.57,35.43,8.0,9975.0,1743.0,6835.0,1439.0,2.7138
265,-116.57,34.0,20.0,260.0,67.0,69.0,50.0,3.5208
266,-116.57,33.94,29.0,551.0,166.0,224.0,107.0,1.1917
267,-116.57,33.84,18.0,7962.0,1652.0,2009.0,921.0,3.3897
268,-116.57,33.64,10.0,489.0,82.0,183.0,74.0,6.2702
269,-116.58,32.69,19.0,4085.0,876.0,2133.0,718.0,2.919
270,-116.6,33.49,16.0,3730.0,827.0,1346.0,592.0,2.183
271,-116.6,33.06,23.0,1731.0,365.0,612.0,258.0,2.7813
272,-116.61,33.04,11.0,2522.0,538.0,616.0,269.0,3.875
273,-116.62,34.23,14.0,6438.0,1719.0,1586.0,691.0,1.6136
274,-116.62,32.86,18.0,4115.0,847.0,2032.0,745.0,4.0159
275,-116.66,32.79,13.0,843.0,157.0,918.0,152.0,6.2152
276,-116.67,32.97,16.0,349.0,74.0,120.0,43.0,5.359
277,-116.68,33.71,21.0,3460.0,711.0,658.0,255.0,3.5882
278,-116.68,33.16,26.0,1820.0,374.0,1001.0,324.0,2.1797
279,-116.71,33.94,12.0,549.0,109.0,209.0,90.0,3.0208
280,-116.72,34.89,14.0,4527.0,875.0,1640.0,590.0,2.8594
281,-116.72,33.56,13.0,3166.0,682.0,1250.0,475.0,2.355
282,-116.74,33.62,11.0,2385.0,661.0,682.0,242.0,2.9141
283,-116.74,33.33,17.0,4190.0,946.0,1802.0,673.0,2.4744
284,-116.75,33.83,16.0,5277.0,1070.0,657.0,276.0,3.3333
285,-116.75,32.85,17.0,4863.0,845.0,2266.0,769.0,4.2321
286,-116.75,32.82,17.0,3348.0,481.0,1222.0,443.0,6.6361
287,-116.76,34.29,14.0,3959.0,849.0,1064.0,376.0,2.8214
288,-116.76,34.14,4.0,42.0,10.0,9.0,3.0,0.536
289,-116.76,33.46,6.0,1251.0,268.0,544.0,216.0,3.0694
290,-116.76,32.84,16.0,3311.0,702.0,1627.0,624.0,3.1196
291,-116.76,32.74,14.0,4085.0,751.0,2129.0,688.0,4.7367
292,-116.77,33.92,19.0,2307.0,525.0,1266.0,437.0,1.6875
293,-116.78,33.0,7.0,12480.0,1946.0,5102.0,1697.0,5.5102
294,-116.79,33.99,16.0,319.0,68.0,212.0,67.0,1.4688
295,-116.79,32.84,12.0,4281.0,786.0,1891.0,721.0,3.5769
296,-116.79,32.61,19.0,2652.0,520.0,1421.0,491.0,3.5227
297,-116.8,33.8,35.0,324.0,63.0,158.0,39.0,3.4167
298,-116.8,32.8,11.0,3874.0,565.0,1672.0,546.0,6.1481
299,-116.82,34.24,11.0,5799.0,1527.0,713.0,262.0,2.5147
300,-116.83,34.25,15.0,8948.0,1985.0,1316.0,514.0,2.7375
301,-116.83,32.83,6.0,3123.0,495.0,1513.0,480.0,5.4288
302,-116.84,33.01,5.0,5673.0,855.0,2592.0,797.0,5.4155
303,-116.84,32.92,20.0,1066.0,219.0,536.0,173.0,3.1607
304,-116.84,32.86,16.0,2502.0,532.0,1211.0,494.0,3.2516
305,-116.85,34.98,26.0,3606.0,792.0,1683.0,608.0,2.6587
306,-116.85,34.25,5.0,5806.0,1030.0,569.0,219.0,4.0132
307,-116.85,32.83,17.0,4234.0,770.0,2191.0,725.0,3.6445
308,-116.86,34.23,13.0,4760.0,938.0,309.0,132.0,5.4618
309,-116.86,33.97,11.0,658.0,131.0,376.0,120.0,2.3977
310,-116.86,33.84,18.0,521.0,118.0,174.0,74.0,2.7788
311,-116.86,33.73,13.0,2604.0,443.0,978.0,417.0,2.933
312,-116.86,33.05,17.0,9044.0,1689.0,5030.0,1596.0,3.6348
313,-116.86,33.02,17.0,401.0,68.0,251.0,69.0,4.6518
314,-116.86,32.87,17.0,5799.0,921.0,2630.0,843.0,5.0524
315,-116.86,32.8,19.0,1747.0,291.0,848.0,290.0,4.875
316,-116.87,33.94,35.0,4448.0,906.0,2736.0,843.0,2.218
317,-116.87,33.93,32.0,3141.0,812.0,2589.0,721.0,1.4556
318,-116.87,33.76,5.0,4116.0,761.0,1714.0,717.0,2.5612
319,-116.87,33.57,12.0,1153.0,265.0,446.0,195.0,3.038
320,-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164
321,-116.87,32.72,13.0,3268.0,491.0,1431.0,503.0,5.7652
322,-116.88,34.25,11.0,1089.0,198.0,230.0,90.0,4.9643
323,-116.88,34.24,13.0,4137.0,796.0,573.0,218.0,4.6394
324,-116.88,34.19,38.0,898.0,259.0,106.0,52.0,1.6875
325,-116.88,34.08,52.0,3419.0,777.0,710.0,265.0,3.9028
326,-116.88,33.93,37.0,1495.0,429.0,865.0,342.0,1.2188
327,-116.88,33.74,20.0,3111.0,623.0,1000.0,508.0,1.5982
328,-116.88,33.05,11.0,7217.0,1583.0,4197.0,1502.0,2.8827
329,-116.88,33.02,16.0,3204.0,541.0,1818.0,529.0,5.2596
330,-116.88,32.86,9.0,3049.0,471.0,1527.0,515.0,5.0733
331,-116.89,33.93,29.0,4549.0,916.0,2494.0,912.0,2.0976
332,-116.89,33.92,10.0,2653.0,621.0,1967.0,598.0,2.6643
333,-116.89,33.86,2.0,6900.0,1238.0,1950.0,980.0,3.0417
334,-116.89,33.75,23.0,2719.0,538.0,930.0,485.0,2.0154
335,-116.89,33.48,14.0,1016.0,219.0,443.0,169.0,2.8071
336,-116.89,32.99,14.0,2816.0,501.0,1448.0,452.0,5.0278
337,-116.89,32.85,16.0,1743.0,333.0,652.0,322.0,2.8906
338,-116.89,32.85,15.0,3560.0,593.0,1757.0,574.0,5.1185
339,-116.89,32.67,9.0,2652.0,393.0,1355.0,362.0,6.2578
340,-116.9,34.69,10.0,337.0,102.0,108.0,50.0,0.4999
341,-116.9,34.52,20.0,3481.0,840.0,1694.0,587.0,1.4
342,-116.9,34.25,16.0,3018.0,523.0,556.0,244.0,3.5288
343,-116.9,33.98,30.0,3915.0,672.0,1820.0,643.0,3.6339
344,-116.9,33.93,34.0,3183.0,738.0,1820.0,647.0,2.2321
345,-116.9,33.74,14.0,2281.0,426.0,894.0,430.0,2.3712
346,-116.9,33.65,15.0,652.0,149.0,248.0,97.0,2.1071
347,-116.9,33.22,11.0,4132.0,773.0,2012.0,703.0,3.1906
348,-116.9,33.03,11.0,3213.0,634.0,1975.0,579.0,3.475
349,-116.9,32.9,19.0,3090.0,552.0,1621.0,520.0,4.0806
350,-116.9,32.84,18.0,4215.0,810.0,2104.0,773.0,4.0873
351,-116.9,32.84,18.0,3612.0,737.0,1864.0,713.0,2.7069
352,-116.9,32.79,21.0,3770.0,491.0,1410.0,446.0,6.7685
353,-116.9,32.77,8.0,3600.0,492.0,1421.0,482.0,6.2609
354,-116.91,34.0,18.0,553.0,100.0,215.0,82.0,5.5
355,-116.91,33.75,13.0,10886.0,2127.0,4266.0,1955.0,2.3169
356,-116.91,33.71,19.0,6807.0,1164.0,2703.0,1055.0,3.1591
357,-116.91,32.87,14.0,3048.0,597.0,1690.0,576.0,4.3818
358,-116.91,32.86,15.0,3153.0,628.0,1633.0,527.0,3.6898
359,-116.91,32.86,10.0,3699.0,838.0,2310.0,759.0,2.5365
360,-116.91,32.85,21.0,4152.0,703.0,2255.0,697.0,4.5096
361,-116.91,32.83,16.0,5203.0,898.0,2515.0,862.0,4.105
362,-116.91,32.82,14.0,1978.0,424.0,1085.0,387.0,3.8073
363,-116.91,32.81,22.0,4331.0,637.0,1952.0,654.0,5.4834
364,-116.91,32.8,32.0,1943.0,287.0,1081.0,292.0,5.6846
365,-116.91,32.78,15.0,4058.0,511.0,1580.0,473.0,7.5
366,-116.91,32.73,8.0,4630.0,624.0,2048.0,575.0,6.4745
367,-116.92,33.63,18.0,397.0,89.0,239.0,80.0,2.8125
368,-116.92,32.85,23.0,1378.0,269.0,767.0,266.0,4.0625
369,-116.92,32.84,16.0,4675.0,834.0,2188.0,817.0,4.6674
370,-116.92,32.82,34.0,1765.0,284.0,772.0,282.0,5.0118
